[Abberath's Hooves]:25c/0,15div  (Artwork:AbberathsHooves)
[Allure]:3c/0,02div  (Artwork:Allure)
[Alpha's Howl]:5c/0,03div  (Artwork:Wolfhead)
[Altered Distant Memory](T11):30c/0,18div  (Artwork:SynthesisColdGuardianMap)
[Amanamu's Gaze]:90c/0,53div  (Artwork:GhastlyEyeUnique)
[Ambition]:80c/0,47div  (Artwork:TrialmasterMiddleFragment)
[Ambu's Charge][6L]:99,4c/0,59div  (Artwork:StrInt3AUnique2)
[Ambu's Charge][5L]:25c/0,15div  (Artwork:StrInt3AUnique2)
[Ambu's Charge]:2c/0,01div  (Artwork:StrInt3AUnique2)
[Anathema]:75c/0,44div  (Artwork:UniqueCurseRing)
[Ancestral Vision]:40c/0,24div  (Artwork:PristineConditioning)
[Ancient Skull]:5c/0,03div  (Artwork:ChuhutlusSkull)
[Andvarius]:10c/0,06div  (Artwork:Ring4Unique)
[Annihilation's Approach]:115c/0,68div  (Artwork:UberSearingExarchBoot)
[Apep's Rage]:5c/0,03div  (Artwork:ApepsRage)
[Apep's Slumber]:10c/0,06div  (Artwork:ApepsSlumber)
[Apep's Supremacy]:100c/0,59div  (Artwork:ApepsSupremacy)
[Apex Mode]:3c/0,02div  (Artwork:IntensityJewel1)
[Arakaali's Fang]:70c/0,41div  (Artwork:FangUnique)
[Araku Tiki]:1c/0,01div  (Artwork:Amulet2Unique)
[Arborix][6L]:202,82c/1,2div  (Artwork:VerdantGuardianBow)
[Arborix]:25c/0,15div  (Artwork:VerdantGuardianBow)
[Architect's Hand]:40c/0,24div  (Artwork:ArchitectsHand)
[Arn's Anguish]:10c/0,06div  (Artwork:AltChargeStr)
[Ascent From Flesh]:1c/0,01div  (Artwork:Turncoatsfortune)
[Asenath's Gentle Touch]:15c/0,09div  (Artwork:AsenathsGentleTouch)
[Asenath's Mark]:19c/0,11div  (Artwork:HyrrisMark)
[Ashcaller]:3c/0,02div  (Artwork:Ashwaker)
[Ashes of the Stars]:62c/0,37div  (Artwork:MasterOfGems)
[Ashrend][6L]:60c/0,36div  (Artwork:Ashrend)
[Ashrend][5L]:16c/0,09div  (Artwork:Ashrend)
[Ashrend]:1c/0,01div  (Artwork:Ashrend)
[Asphyxia's Wrath]:95406,88c/565,64div  (Artwork:AsphyxiasWrathRaceAlt)
[Asphyxia's Wrath]:1c/0,01div  (Artwork:AsphyxiasWrath)
[Assailum]:7c/0,04div  (Artwork:Tangmazuarmourhelmet)
[Astral Projector]:20c/0,12div  (Artwork:AstralProjector)
[Astramentis]:30c/0,18div  (Artwork:Amulet36)
[Atziri's Acuity]:10c/0,06div  (Artwork:AtzirisAcuity)
[Atziri's Disfavour][5L]:1690,2c/10div  (Artwork:AtzirisDisfavour)
[Atziri's Disfavour][6L]:676,08c/4div  (Artwork:AtzirisDisfavour)
[Atziri's Disfavour]:507,06c/3div  (Artwork:AtzirisDisfavour)
[Atziri's Foible]:20c/0,12div  (Artwork:Quid)
[Atziri's Promise]:7c/0,04div  (Artwork:AtzirisPromise)
[Atziri's Reflection]:253c/1,5div  (Artwork:ShieldDex5Unique)
[Atziri's Reign]:5c/0,03div  (Artwork:RedCorrupt1)
[Atziri's Rule][6L]:181,41c/1,07div  (Artwork:PortentOfAFalseGod)
[Atziri's Rule]:15c/0,09div  (Artwork:PortentOfAFalseGod)
[Atziri's Splendour][5L]:371,07c/2,2div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:337,34c/2div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:202,4c/1,2div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][6L]:168,67c/1div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:129,73c/0,77div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:113,61c/0,67div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:92c/0,55div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:75c/0,44div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:64c/0,38div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:46c/0,27div  (Artwork:AtzirisSplendour)
[Atziri's Splendour][5L]:37,6c/0,22div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Splendour]:20c/0,12div  (Artwork:AtzirisSplendour)
[Atziri's Step]:5c/0,03div  (Artwork:AtzirisStep)
[Augmented Distant Memory](T11):29,2c/0,17div  (Artwork:SynthesisFireGuardianMap)
[Augyre]:5c/0,03div  (Artwork:ElderSceptre)
[Aukuna's Will]:1c/0,01div  (Artwork:AukunasWill)
[Aul's Uprising]:30c/0,18div  (Artwork:Ahn Artifact)
[Aurseize]:4c/0,02div  (Artwork:Aurseize)
[Aurumvorax]:1c/0,01div  (Artwork:Aurumvorax)
[Auxium]:5c/0,03div  (Artwork:Auxium)
[Axiom Perpetuum]:3c/0,02div  (Artwork:AxiomPerpetuum)
[Azadi Crest]:70c/0,42div  (Artwork:AzadiCrest)
[Badge of the Brotherhood]:25c/0,15div  (Artwork:AssassinUnique)
[Balefire]:1c/0,01div  (Artwork:Baelfire)
[Bated Breath]:2c/0,01div  (Artwork:BatedBreath)
[Beacon of Madness]:5c/0,03div  (Artwork:Tangmazuarmourboots)
[Bear's Girdle]:5c/0,03div  (Artwork:BearsClutch)
[Beauty]:20c/0,12div  (Artwork:TrialmasterLeftFragment)
[Belly of the Beast][6L]:168,67c/1div  (Artwork:bellyofthebeast)
[Belly of the Beast][5L]:35,9c/0,21div  (Artwork:bellyofthebeast)
[Belly of the Beast]:5c/0,03div  (Artwork:bellyofthebeast)
[Belt of the Deceiver]:4c/0,02div  (Artwork:BeltOfTheDeciever)
[Beltimber Blade]:5c/0,03div  (Artwork:VerdantGuardianSword2)
[Berek's Grip]:3c/0,02div  (Artwork:BereksGrip)
[Berek's Pass]:3c/0,02div  (Artwork:BereksPass)
[Berek's Respite]:9,8c/0,06div  (Artwork:BereksRespite)
[Betrayal's Sting]:25c/0,15div  (Artwork:BetrayalsSting)
[Binds of Bloody Vengeance]:55c/0,33div  (Artwork:LashofRetribution)
[Bino's Kitchen Knife]:591,57c/3,5div  (Artwork:BinosKitchenKnife)
[Bisco's Leash]:5c/0,03div  (Artwork:BiscosLeash)
[Bitterbind Point]:75c/0,44div  (Artwork:MastersFocus)
[Bitterdream]:5c/0,03div  (Artwork:scepter8unique2)
[Black Sun Crest]:5c/0,03div  (Artwork:Blacksuncrest)
[Black Zenith]:9,6c/0,06div  (Artwork:EbbAndFlow)
[Blackflame]:30c/0,18div  (Artwork:BlackFlameFire)
[Blackgleam]:1c/0,01div  (Artwork:QuiverUnique1)
[Blackheart]:5c/0,03div  (Artwork:Ring1Unique)
[Blasphemer's Grasp]:8c/0,05div  (Artwork:ElderGloves)
[Blightwell]:4c/0,02div  (Artwork:TaintedSprings)
[Blood of the Karui]:1c/0,01div  (Artwork:BloodOfTheKarui)
[Blood Price]:10c/0,06div  (Artwork:BloodPriceHelmUnique)
[Bloodbond][6L]:70c/0,42div  (Artwork:CommunalFlesh)
[Bloodbond][5L]:20c/0,12div  (Artwork:CommunalFlesh)
[Bloodbond]:1c/0,01div  (Artwork:CommunalFlesh)
[Bloodgrip]:3c/0,02div  (Artwork:BloodAmulet)
[Bloodnotch]:30,4c/0,18div  (Artwork:IgnorePain)
[Bloodplay]:1c/0,01div  (Artwork:BloodPlay)
[Bloodseeker]:540,86c/3,2div  (Artwork:Bloodseeker)
[Bloodsoaked Medallion]:3,48c/0,02div  (Artwork:BloodSoaked_Medallion)
[Blunderbore][6L]:337,34c/2div  (Artwork:Blunderbore)
[Blunderbore][5L]:100c/0,59div  (Artwork:Blunderbore)
[Blunderbore]:8c/0,05div  (Artwork:Blunderbore)
[Bones of Ullr]:1c/0,01div  (Artwork:bootunique)
[Bottled Faith]:1690,2c/10div  (Artwork:BottledPurity)
[Bound By Destiny]:50c/0,3div  (Artwork:BoundByDestiny)
[Bound Fate]:5c/0,03div  (Artwork:HinekoraBelt)
[Brain Rattler][6L]:150c/0,89div  (Artwork:BrainScrambler)
[Brain Rattler][5L]:100c/0,59div  (Artwork:BrainScrambler)
[Brain Rattler]:5c/0,03div  (Artwork:BrainScrambler)
[Bramblejack][6L]:62c/0,37div  (Artwork:Bramblejack)
[Bramblejack][5L]:15c/0,09div  (Artwork:Bramblejack)
[Bramblejack]:1c/0,01div  (Artwork:Bramblejack)
[Breath of the Council]:1c/0,01div  (Artwork:Plaguebringer)
[Breathstealer]:90c/0,53div  (Artwork:Supporter1gloveA)
[Brightbeak]:1c/0,01div  (Artwork:OneHandMace5Unique)
[Brinerot Flag]:3c/0,02div  (Artwork:BrinerotFlag)
[Brinerot Mark]:5c/0,03div  (Artwork:Brinerot)
[Brinerot Whalers]:3c/0,02div  (Artwork:Reefscourge)
[Briskwrap][6L]:337,34c/2div  (Artwork:Briskwrap)
[Briskwrap][5L]:50c/0,3div  (Artwork:Briskwrap)
[Briskwrap]:2c/0,01div  (Artwork:Briskwrap)
[Broken Faith]:20c/0,12div  (Artwork:SantonisFaith)
[Bronn's Lithe][6L]:150c/0,89div  (Artwork:Bronnslithe)
[Bronn's Lithe][5L]:20c/0,12div  (Artwork:Bronnslithe)
[Bronn's Lithe]:2c/0,01div  (Artwork:Bronnslithe)
[Brutal Restraint]:169,02c/1div  (Artwork:MarakethCivilization)
[Brute Force Solution]:5c/0,03div  (Artwork:STRtoINT)
[Brutus' Lead Sprinkler]:5c/0,03div  (Artwork:TheLeadSprinkler)
[Bubonic Trail]:168,67c/1div  (Artwork:AbyssBoots)
[Bubonic Trail]:5c/0,03div  (Artwork:AbyssBoots)
[Cadigan's Authority]:169,02c/1div  (Artwork:PrimordialCane)
[Cadigan's Crown]:337,34c/2div  (Artwork:AdaptationHelmetUnique)
[Caer Blaidd, Wolfpack's Den](T15):8c/0,05div  (Artwork:WolfMap)
[Caer Blaidd, Wolfpack's Den](T16):5c/0,03div  (Artwork:WolfMap)
[Calamitous Visions]:10c/0,06div  (Artwork:LoneMessengerJewel)
[Call of the Brotherhood]:5c/0,03div  (Artwork:Brotherhood)
[Call of the Void]:40c/0,24div  (Artwork:FrostGlazedEyeRing)
[Callinellus Malleus]:1c/0,01div  (Artwork:CallinellusMalleus)
[Cameria's Avarice]:169,02c/1div  (Artwork:AmericsMaul)
[Cameria's Maul]:3,4c/0,02div  (Artwork:AmericsMaul)
[Cane of Kulemak][6L]:507,06c/3div  (Artwork:CatarinaStaff)
[Cane of Kulemak]:169,02c/1div  (Artwork:CatarinaStaff)
[Cane of Kulemak][5L]:139,61c/0,83div  (Artwork:CatarinaStaff)
[Cane of Unravelling][6L]:165,86c/0,98div  (Artwork:CaneOfUnravelling)
[Cane of Unravelling][5L]:26c/0,15div  (Artwork:CaneOfUnravelling)
[Cane of Unravelling]:2c/0,01div  (Artwork:CaneOfUnravelling)
[Carcass Jack][6L]:295,17c/1,75div  (Artwork:CarcassJack)
[Carcass Jack][5L]:63c/0,37div  (Artwork:CarcassJack)
[Carcass Jack]:8c/0,05div  (Artwork:CarcassJack)
[Careful Planning]:5c/0,03div  (Artwork:INTtoDEX)
[Carnage Heart]:5c/0,03div  (Artwork:Amulet37)
[Ceaseless Feast]:10c/0,06div  (Artwork:TouchOfRust)
[Ceinture of Benevolence]:3c/0,02div  (Artwork:LinkmastersCoil)
[Cerberus Limb]:5c/0,03div  (Artwork:Cerebus Limb)
[Chain of Endurance]:1c/0,01div  (Artwork:UnhealthyBurden)
[Chains of Command][6L]:253c/1,5div  (Artwork:ChainsOfCommand)
[Chains of Command][5L]:50c/0,3div  (Artwork:ChainsOfCommand)
[Chains of Command]:10c/0,06div  (Artwork:ChainsOfCommand)
[Chains of Emancipation]:3c/0,02div  (Artwork:SlaversBelt)
[Chalice of Horrors]:1c/0,01div  (Artwork:Chaliceofhorrors)
[Chernobog's Pillar]:3c/0,02div  (Artwork:Chernobogspillar)
[Cherrubim's Maleficence][6L]:60c/0,36div  (Artwork:CherrubimsCrave)
[Cherrubim's Maleficence][5L]:10c/0,06div  (Artwork:CherrubimsCrave)
[Cherrubim's Maleficence]:2c/0,01div  (Artwork:CherrubimsCrave)
[Chill of Corruption]:5c/0,03div  (Artwork:GreenCorrupt2)
[Chin Sol][6L]:50c/0,3div  (Artwork:Bow5unique)
[Chin Sol][5L]:41c/0,24div  (Artwork:Bow5unique)
[Chin Sol]:3c/0,02div  (Artwork:Bow5unique)
[Chitus' Apex]:10c/0,06div  (Artwork:ChitusApex)
[Chober Chaber][6L]:35c/0,21div  (Artwork:ChoberChaber)
[Chober Chaber][5L]:3,4c/0,02div  (Artwork:ChoberChaber)
[Chober Chaber]:1c/0,01div  (Artwork:ChoberChaber)
[Choir of the Storm]:152c/0,9div  (Artwork:VoiceOfTheStormUpgrade)
[Cinderswallow Urn]:130c/0,77div  (Artwork:VialofUnlife)
[Circle of Ambition]:50c/0,3div  (Artwork:UberCircleHerald)
[Circle of Anguish]:10c/0,06div  (Artwork:SynthesisFire)
[Circle of Fear]:10,5c/0,06div  (Artwork:SynthesisCold)
[Circle of Guilt]:15c/0,09div  (Artwork:SynthesisPhysical2)
[Circle of Nostalgia]:12,5c/0,07div  (Artwork:SynthesisPhysical)
[Circle of Regret]:10c/0,06div  (Artwork:SynthesisLightning)
[Clayshaper]:2c/0,01div  (Artwork:ClayShaper)
[Cloak of Defiance][6L]:253c/1,5div  (Artwork:CloakOfDefiance)
[Cloak of Defiance][5L]:53c/0,31div  (Artwork:CloakOfDefiance)
[Cloak of Defiance]:15c/0,09div  (Artwork:CloakOfDefiance)
[Cloak of Flame][6L]:337,34c/2div  (Artwork:BodyInt1Aunique)
[Cloak of Flame][5L]:60c/0,36div  (Artwork:BodyInt1Aunique)
[Cloak of Flame]:10c/0,06div  (Artwork:BodyInt1Aunique)
[Cloak of Tawm'r Isley][6L]:506,01c/3div  (Artwork:TomOReillyCloak)
[Cloak of Tawm'r Isley][5L]:371,07c/2,2div  (Artwork:TomOReillyCloak)
[Cloak of Tawm'r Isley]:337,34c/2div  (Artwork:TomOReillyCloak)
[Coiling Whisper]:89c/0,53div  (Artwork:CircleofDarkRituals)
[Cold Iron Point]:5c/0,03div  (Artwork:ColdIronPoint)
[Combat Focus]:60c/0,35div  (Artwork:ElementalHitCold)
[Combat Focus]:55c/0,33div  (Artwork:ElementalHitFire)
[Combat Focus]:40c/0,24div  (Artwork:ElementalHitLightening)
[Command of the Pit]:5c/0,03div  (Artwork:CommandofthePit)
[Cooperation]:507,06c/3div  (Artwork:TrialmasterRightFragment)
[Coralito's Signature]:1c/0,01div  (Artwork:GorgonsFlask)
[Corpsewalker]:14c/0,08div  (Artwork:DisturbTheDead)
[Cortex](T11):75c/0,44div  (Artwork:SynthesisBossGuardianMap)
[Coruscating Elixir]:7c/0,04div  (Artwork:CorusElixir)
[Cospri's Malice]:20c/0,12div  (Artwork:CosprisMalice)
[Cospri's Will][6L]:168,67c/1div  (Artwork:CosprisWill)
[Cospri's Will][5L]:25c/0,15div  (Artwork:CosprisWill)
[Cospri's Will]:5c/0,03div  (Artwork:CosprisWill)
[Coward's Chains]:10,3c/0,06div  (Artwork:Coward's Chains)
[Coward's Legacy]:90c/0,53div  (Artwork:Coward's Legacy)
[Cowl of the Ceraunophile]:775,88c/4,6div  (Artwork:Supporter1helmetC)
[Cowl of the Cryophile]:1180,69c/7div  (Artwork:Supporter1helmetA)
[Cowl of the Thermophile]:2192,71c/13div  (Artwork:Supporter1helmetB)
[Craghead]:1c/0,01div  (Artwork:QuiverUnique4)
[Craiceann's Carapace][6L]:472,28c/2,8div  (Artwork:CrabUnique)
[Craiceann's Carapace][5L]:65c/0,39div  (Artwork:CrabUnique)
[Craiceann's Carapace]:10c/0,06div  (Artwork:CrabUnique)
[Craiceann's Chitin]:5c/0,03div  (Artwork:CrabUniqueHelmet)
[Craiceann's Pincers]:10c/0,06div  (Artwork:CrabUniqueGloves)
[Craiceann's Tracks]:8c/0,05div  (Artwork:CrabUniqueBoots)
[Crest of Desire]:80c/0,47div  (Artwork:Magnification)
[Crest of Perandus]:1c/0,01div  (Artwork:ShieldDexUnique5)
[Crown of Eyes]:10c/0,06div  (Artwork:CrownofEyes)
[Crown of the Inward Eye]:45c/0,27div  (Artwork:CrownOfTheInwardEye)
[Crown of the Pale King]:1c/0,01div  (Artwork:CrownofthePaleKing)
[Crown of the Tyrant]:3542,07c/21div  (Artwork:TheImposing Crown)
[Crown of Thorns]:1c/0,01div  (Artwork:CrownofThorns)
[Crystallised Omniscience]:20c/0,12div  (Artwork:AscendanceAmulet)
[Curio of Absorption]:80c/0,47div  (Artwork:PinnacleFragmentExarch)
[Curio of Consumption]:506,01c/3div  (Artwork:PinnacleFragmentEater)
[Curio of Decay]:50c/0,3div  (Artwork:PinnacleFragmentElder)
[Curio of Potential]:70c/0,42div  (Artwork:PinnacleFragmentMaven)
[Curiosity]:50c/0,3div  (Artwork:TrialmasterBottomFragment)
[Curtain Call]:1c/0,01div  (Artwork:CurtainCall)
[Cybil's Paw]:1c/0,01div  (Artwork:CybilsClaw)
[Cyclopean Coil]:10c/0,06div  (Artwork:ElderBelt)
[Dance of the Offered]:20c/0,12div  (Artwork:DanceOfTheOffered)
[Daresso's Courage]:5c/0,03div  (Artwork:ShieldStrDexUnique1)
[Daresso's Defiance][6L]:253c/1,5div  (Artwork:DaressosDefiance)
[Daresso's Defiance][5L]:60c/0,36div  (Artwork:DaressosDefiance)
[Daresso's Defiance]:5c/0,03div  (Artwork:DaressosDefiance)
[Daresso's Passion]:1c/0,01div  (Artwork:Daressos)
[Daresso's Salute]:1c/0,01div  (Artwork:CitrineAmuletUnique)
[Darkness Enthroned]:8c/0,05div  (Artwork:DarknessEnthroned)
[Darkray Vectors]:2c/0,01div  (Artwork:DarkrayVectors)
[Darkscorn][6L]:253,53c/1,5div  (Artwork:Darkscorn)
[Darkscorn][5L]:100c/0,59div  (Artwork:Darkscorn)
[Darkscorn]:20c/0,12div  (Artwork:Darkscorn)
[Dawnbreaker]:15c/0,09div  (Artwork:SuperheatedShield)
[Dawnstrider]:10c/0,06div  (Artwork:InfectiousConstruct)
[Dead Reckoning]:10c/0,06div  (Artwork:AdditionalSkeletonMagesModifier)
[Death and Taxes](T12):7c/0,04div  (Artwork:DeathandTaxes)
[Death and Taxes](T15):6c/0,04div  (Artwork:DeathandTaxes)
[Death and Taxes](T16):5c/0,03div  (Artwork:DeathandTaxes)
[Death Rush]:20c/0,12div  (Artwork:AmethystRingUnique)
[Death's Door]:421,68c/2,5div  (Artwork:Deathsdoor)
[Death's Hand]:3,3c/0,02div  (Artwork:EndOfEra)
[Death's Harp][6L]:169,02c/1div  (Artwork:Deathsharp)
[Death's Harp][5L]:45c/0,27div  (Artwork:Deathsharp)
[Death's Harp]:8c/0,05div  (Artwork:Deathsharp)
[Death's Oath][6L]:168,67c/1div  (Artwork:Deathsoath)
[Death's Oath][5L]:50c/0,3div  (Artwork:Deathsoath)
[Death's Oath]:9c/0,05div  (Artwork:Deathsoath)
[Debeon's Dirge][5L]:31c/0,18div  (Artwork:StringAxe)
[Debeon's Dirge][6L]:20c/0,12div  (Artwork:StringAxe)
[Debeon's Dirge]:1c/0,01div  (Artwork:StringAxe)
[Deerstalker]:1c/0,01div  (Artwork:BootsDexUnique1)
[Defiance of Destiny]:843,35c/5div  (Artwork:HinekoraAmulet)
[Deidbell]:3c/0,02div  (Artwork:Deidbell)
[Demon Stitcher]:1c/0,01div  (Artwork:DemonSticher)
[Dendrobate][6L]:168,67c/1div  (Artwork:Dendrobatis)
[Dendrobate][5L]:24c/0,14div  (Artwork:Dendrobatis)
[Dendrobate]:2c/0,01div  (Artwork:Dendrobatis)
[Devoto's Devotion]:4c/0,02div  (Artwork:HelmetStrDex2unique)
[Dialla's Malefaction][6L]:337,34c/2div  (Artwork:DiallasMalefaction)
[Dialla's Malefaction][5L]:168,67c/1div  (Artwork:DiallasMalefaction)
[Dialla's Malefaction]:90c/0,53div  (Artwork:DiallasMalefaction)
[Disintegrator][6L]:507,06c/3div  (Artwork:ElderStaff)
[Disintegrator][5L]:270,43c/1,6div  (Artwork:ElderStaff)
[Disintegrator]:169,02c/1div  (Artwork:ElderStaff)
[Dissolution of the Flesh]:20c/0,12div  (Artwork:ReservedBloodJewel)
[Divinarius]:676,08c/4div  (Artwork:Dagger7unique)
[Divination Distillate]:4c/0,02div  (Artwork:yFlasks17)
[Doedre's Damning]:5c/0,03div  (Artwork:Ring3Unique)
[Doedre's Elixir]:1c/0,01div  (Artwork:yFlask4)
[Doedre's Scorn]:1c/0,01div  (Artwork:DoedresScorn)
[Doedre's Skin][6L]:81c/0,48div  (Artwork:DoedresSkin)
[Doedre's Skin][5L]:50c/0,3div  (Artwork:DoedresSkin)
[Doedre's Skin]:19c/0,11div  (Artwork:DoedresSkin)
[Doedre's Tenure]:2c/0,01div  (Artwork:DoedresTenure)
[Doedre's Tongue]:4c/0,02div  (Artwork:DoedresTongue)
[Doomfletch][6L]:348,18c/2,06div  (Artwork:DoomFletch)
[Doomfletch][5L]:131,8c/0,78div  (Artwork:DoomFletch)
[Doomfletch]:10c/0,06div  (Artwork:DoomFletch)
[Doomsower][5L]:169,02c/1div  (Artwork:DoomSower)
[Doomsower][6L]:50c/0,3div  (Artwork:DoomSower)
[Doomsower]:3c/0,02div  (Artwork:DoomSower)
[Doon Cuebiyari]:5c/0,03div  (Artwork:DoonCuebiyari)
[Doppelgänger Guise][6L]:337,34c/2div  (Artwork:CollectorsGarbDiff)
[Doppelgänger Guise][5L]:150c/0,89div  (Artwork:CollectorsGarbDiff)
[Doppelgänger Guise]:50c/0,3div  (Artwork:CollectorsGarbDiff)
[Doryani's Catalyst]:14c/0,08div  (Artwork:DoryanisCatalyst)
[Doryani's Delusion]:60c/0,36div  (Artwork:DoriyanisBlue)
[Doryani's Delusion]:20c/0,12div  (Artwork:DoriyanisGreen)
[Doryani's Delusion]:20c/0,12div  (Artwork:DoriyanisRed)
[Doryani's Fist]:20c/0,12div  (Artwork:DoryanisFist)
[Doryani's Invitation]:9c/0,05div  (Artwork:DoryanisInvitation)
[Doryani's Invitation]:8c/0,05div  (Artwork:DoryanisInvitation)
[Doryani's Invitation]:7,7c/0,05div  (Artwork:DoryanisInvitation)
[Doryani's Invitation]:5c/0,03div  (Artwork:DoryanisInvitation)
[Doryani's Machinarium](T14):15c/0,09div  (Artwork:Doryanis)
[Doryani's Machinarium](T16):14c/0,08div  (Artwork:Doryanis)
[Doryani's Prototype][6L]:337,34c/2div  (Artwork:ShockCloak)
[Doryani's Prototype][5L]:129c/0,76div  (Artwork:ShockCloak)
[Doryani's Prototype]:100c/0,59div  (Artwork:ShockCloak)
[Dreadarc]:2c/0,01div  (Artwork:Dreadarc)
[Dream Fragments]:4c/0,02div  (Artwork:Ring6Unique)
[Dreamfeather]:5c/0,03div  (Artwork:Dreamfeather)
[Drillneck]:1c/0,01div  (Artwork:Drillneck)
[Duskdawn][6L]:388,75c/2,3div  (Artwork:SolarisLunarisStaff)
[Duskdawn][5L]:200c/1,18div  (Artwork:SolarisLunarisStaff)
[Duskdawn]:169,02c/1div  (Artwork:SolarisLunarisStaff)
[Dusktoe]:1c/0,01div  (Artwork:BootsStrDexUnique3)
[Dyadian Dawn]:5c/0,03div  (Artwork:MotherDyadus)
[Dyadus]:2,38c/0,01div  (Artwork:Dyadus)
[Dying Breath][6L]:40c/0,24div  (Artwork:DyingBreath)
[Dying Breath][5L]:10c/0,06div  (Artwork:DyingBreath)
[Dying Breath]:5c/0,03div  (Artwork:DyingBreath)
[Dying Sun]:2873,34c/17div  (Artwork:ShapersFlask)
[Earendel's Embrace]:1c/0,01div  (Artwork:EarendelsEmbrace)
[Eber's Unification]:2c/0,01div  (Artwork:PaleCouncilHelmet)
[Echoes of Creation]:20c/0,12div  (Artwork:TheTwistingScream)
[Echoforge][5L]:929,61c/5,5div  (Artwork:CosmicForge)
[Echoforge][6L]:845,1c/5div  (Artwork:CosmicForge)
[Echoforge]:676,08c/4div  (Artwork:CosmicForge)
