[Abberath's Hooves]:25c/0,14div  (Artwork:AbberathsHooves)
[Aul's Uprising]:30c/0,17div  (Artwork:Ahn Artifact)
[Aurseize]:4c/0,02div  (Artwork:Aurseize)
[Aurumvorax]:1c/0,01div  (Artwork:Aurumvorax)
[Auxium]:5c/0,03div  (Artwork:Auxium)
[Axiom Perpetuum]:3c/0,02div  (Artwork:AxiomPerpetuum)
[Azadi Crest]:60c/0,34div  (Artwork:AzadiCrest)
[Badge of the Brotherhood]:25c/0,14div  (Artwork:AssassinUnique)
[Balefire]:1c/0,01div  (Artwork:Baelfire)
[Bated Breath]:2c/0,01div  (Artwork:BatedBreath)
[Beacon of Madness]:5c/0,03div  (Artwork:Tangmazuarmourboots)
[Bear's Girdle]:5c/0,03div  (Artwork:BearsClutch)
[Beauty]:20c/0,11div  (Artwork:TrialmasterLeftFragment)
[Belly of the Beast][6L]:176,87c/1div  (Artwork:bellyofthebeast)
[Belly of the Beast][5L]:35c/0,2div  (Artwork:bellyofthebeast)
[Belly of the Beast]:5c/0,03div  (Artwork:bellyofthebeast)
[Belt of the Deceiver]:3c/0,02div  (Artwork:BeltOfTheDeciever)
[Beltimber Blade]:5c/0,03div  (Artwork:VerdantGuardianSword2)
[Berek's Grip]:3c/0,02div  (Artwork:BereksGrip)
[Berek's Pass]:2,16c/0,01div  (Artwork:BereksPass)
[Berek's Respite]:9c/0,05div  (Artwork:BereksRespite)
[Betrayal's Sting]:25c/0,14div  (Artwork:BetrayalsSting)
[Binds of Bloody Vengeance]:60c/0,34div  (Artwork:LashofRetribution)
[Bino's Kitchen Knife]:619,04c/3,5div  (Artwork:BinosKitchenKnife)
[Bisco's Leash]:5c/0,03div  (Artwork:BiscosLeash)
[Bitterbind Point]:80c/0,45div  (Artwork:MastersFocus)
[Bitterdream]:5c/0,03div  (Artwork:scepter8unique2)
[Black Sun Crest]:5c/0,03div  (Artwork:Blacksuncrest)
[Black Zenith]:8,3c/0,05div  (Artwork:EbbAndFlow)
[Blackflame]:30c/0,17div  (Artwork:BlackFlameFire)
[Blackgleam]:1c/0,01div  (Artwork:QuiverUnique1)
[Blackheart]:5c/0,03div  (Artwork:Ring1Unique)
[Blasphemer's Grasp]:9c/0,05div  (Artwork:ElderGloves)
[Blightwell]:3c/0,02div  (Artwork:TaintedSprings)
[Blood of the Karui]:1c/0,01div  (Artwork:BloodOfTheKarui)
[Blood Price]:10c/0,06div  (Artwork:BloodPriceHelmUnique)
[Bloodbond][6L]:61c/0,34div  (Artwork:CommunalFlesh)
[Bloodbond][5L]:20c/0,11div  (Artwork:CommunalFlesh)
[Bloodbond]:1c/0,01div  (Artwork:CommunalFlesh)
[Bloodgrip]:2,4c/0,01div  (Artwork:BloodAmulet)
[Bloodnotch]:25c/0,14div  (Artwork:IgnorePain)
[Bloodplay]:1c/0,01div  (Artwork:BloodPlay)
[Bloodseeker]:530,61c/3div  (Artwork:Bloodseeker)
[Bloodsoaked Medallion]:4c/0,02div  (Artwork:BloodSoaked_Medallion)
[Blunderbore][6L]:353,74c/2div  (Artwork:Blunderbore)
[Blunderbore][5L]:100c/0,57div  (Artwork:Blunderbore)
[Blunderbore]:6c/0,03div  (Artwork:Blunderbore)
[Bones of Ullr]:1c/0,01div  (Artwork:bootunique)
[Bottled Faith]:1680,26c/9,5div  (Artwork:BottledPurity)
[Bound By Destiny]:121c/0,68div  (Artwork:BoundByDestiny)
[Bound Fate]:5c/0,03div  (Artwork:HinekoraBelt)
[Brain Rattler][6L]:150c/0,85div  (Artwork:BrainScrambler)
[Brain Rattler][5L]:100c/0,57div  (Artwork:BrainScrambler)
[Brain Rattler]:5c/0,03div  (Artwork:BrainScrambler)
[Bramblejack][6L]:80c/0,45div  (Artwork:Bramblejack)
[Bramblejack][5L]:18c/0,1div  (Artwork:Bramblejack)
[Bramblejack]:1c/0,01div  (Artwork:Bramblejack)
[Breath of the Council]:1c/0,01div  (Artwork:Plaguebringer)
[Breathstealer]:90c/0,51div  (Artwork:Supporter1gloveA)
[Brightbeak]:1c/0,01div  (Artwork:OneHandMace5Unique)
[Brinerot Flag]:3c/0,02div  (Artwork:BrinerotFlag)
[Brinerot Mark]:5c/0,03div  (Artwork:Brinerot)
[Brinerot Whalers]:3c/0,02div  (Artwork:Reefscourge)
[Briskwrap][6L]:353,74c/2div  (Artwork:Briskwrap)
[Briskwrap][5L]:50c/0,28div  (Artwork:Briskwrap)
[Briskwrap]:2c/0,01div  (Artwork:Briskwrap)
[Broken Faith]:20c/0,11div  (Artwork:SantonisFaith)
[Bronn's Lithe][6L]:150c/0,85div  (Artwork:Bronnslithe)
[Bronn's Lithe][5L]:20c/0,11div  (Artwork:Bronnslithe)
[Bronn's Lithe]:2c/0,01div  (Artwork:Bronnslithe)
[Brutal Restraint]:176,87c/1div  (Artwork:MarakethCivilization)
[Brute Force Solution]:5c/0,03div  (Artwork:STRtoINT)
[Brutus' Lead Sprinkler]:5c/0,03div  (Artwork:TheLeadSprinkler)
[Bubonic Trail]:176,87c/1div  (Artwork:AbyssBoots)
[Bubonic Trail]:5c/0,03div  (Artwork:AbyssBoots)
[Cadigan's Authority]:176,87c/1div  (Artwork:PrimordialCane)
[Cadigan's Crown]:176,87c/1div  (Artwork:AdaptationHelmetUnique)
[Caer Blaidd, Wolfpack's Den](T15):8c/0,05div  (Artwork:WolfMap)
[Caer Blaidd, Wolfpack's Den](T16):6c/0,03div  (Artwork:WolfMap)
[Calamitous Visions]:10c/0,06div  (Artwork:LoneMessengerJewel)
[Call of the Brotherhood]:5c/0,03div  (Artwork:Brotherhood)
[Call of the Void]:40c/0,23div  (Artwork:FrostGlazedEyeRing)
[Callinellus Malleus]:1c/0,01div  (Artwork:CallinellusMalleus)
[Cameria's Avarice]:176,87c/1div  (Artwork:AmericsMaul)
[Cameria's Maul]:1c/0,01div  (Artwork:AmericsMaul)
[Cane of Kulemak][6L]:530,61c/3div  (Artwork:CatarinaStaff)
[Cane of Kulemak]:176,87c/1div  (Artwork:CatarinaStaff)
[Cane of Kulemak][5L]:100c/0,57div  (Artwork:CatarinaStaff)
[Cane of Unravelling][6L]:150c/0,85div  (Artwork:CaneOfUnravelling)
[Cane of Unravelling][5L]:33c/0,19div  (Artwork:CaneOfUnravelling)
[Cane of Unravelling]:2c/0,01div  (Artwork:CaneOfUnravelling)
[Carcass Jack][6L]:265,3c/1,5div  (Artwork:CarcassJack)
[Carcass Jack][5L]:67c/0,38div  (Artwork:CarcassJack)
[Carcass Jack]:7c/0,04div  (Artwork:CarcassJack)
[Careful Planning]:5c/0,03div  (Artwork:INTtoDEX)
[Carnage Heart]:5c/0,03div  (Artwork:Amulet37)
[Ceaseless Feast]:10c/0,06div  (Artwork:TouchOfRust)
[Ceinture of Benevolence]:3c/0,02div  (Artwork:LinkmastersCoil)
[Cerberus Limb]:5c/0,03div  (Artwork:Cerebus Limb)
[Chain of Endurance]:1c/0,01div  (Artwork:UnhealthyBurden)
[Chains of Command][6L]:254,69c/1,44div  (Artwork:ChainsOfCommand)
[Chains of Command][5L]:50c/0,28div  (Artwork:ChainsOfCommand)
[Chains of Command]:10c/0,06div  (Artwork:ChainsOfCommand)
[Chains of Emancipation]:3c/0,02div  (Artwork:SlaversBelt)
[Chalice of Horrors]:1c/0,01div  (Artwork:Chaliceofhorrors)
[Chernobog's Pillar]:3c/0,02div  (Artwork:Chernobogspillar)
[Cherrubim's Maleficence][6L]:67,2c/0,38div  (Artwork:CherrubimsCrave)
[Cherrubim's Maleficence][5L]:10c/0,06div  (Artwork:CherrubimsCrave)
[Cherrubim's Maleficence]:2c/0,01div  (Artwork:CherrubimsCrave)
[Chill of Corruption]:5c/0,03div  (Artwork:GreenCorrupt2)
[Chin Sol][6L]:50c/0,28div  (Artwork:Bow5unique)
[Chin Sol][5L]:10c/0,06div  (Artwork:Bow5unique)
[Chin Sol]:3c/0,02div  (Artwork:Bow5unique)
[Chitus' Apex]:10c/0,06div  (Artwork:ChitusApex)
[Chober Chaber][6L]:35c/0,2div  (Artwork:ChoberChaber)
[Chober Chaber][5L]:5c/0,03div  (Artwork:ChoberChaber)
[Chober Chaber]:1c/0,01div  (Artwork:ChoberChaber)
[Choir of the Storm]:150c/0,85div  (Artwork:VoiceOfTheStormUpgrade)
[Cinderswallow Urn]:100c/0,57div  (Artwork:VialofUnlife)
[Circle of Ambition]:60c/0,34div  (Artwork:UberCircleHerald)
[Circle of Anguish]:10c/0,06div  (Artwork:SynthesisFire)
[Circle of Fear]:10c/0,06div  (Artwork:SynthesisCold)
[Circle of Guilt]:10,6c/0,06div  (Artwork:SynthesisPhysical2)
[Circle of Nostalgia]:10c/0,06div  (Artwork:SynthesisPhysical)
[Circle of Regret]:10c/0,06div  (Artwork:SynthesisLightning)
[Clayshaper]:2c/0,01div  (Artwork:ClayShaper)
[Cloak of Defiance][6L]:265,3c/1,5div  (Artwork:CloakOfDefiance)
[Cloak of Defiance][5L]:48c/0,27div  (Artwork:CloakOfDefiance)
[Cloak of Defiance]:15c/0,08div  (Artwork:CloakOfDefiance)
[Cloak of Flame][6L]:353,74c/2div  (Artwork:BodyInt1Aunique)
[Cloak of Flame][5L]:60c/0,34div  (Artwork:BodyInt1Aunique)
[Cloak of Flame]:10c/0,06div  (Artwork:BodyInt1Aunique)
[Cloak of Tawm'r Isley][6L]:530,61c/3div  (Artwork:TomOReillyCloak)
[Cloak of Tawm'r Isley][5L]:406,8c/2,3div  (Artwork:TomOReillyCloak)
[Cloak of Tawm'r Isley]:359,05c/2,03div  (Artwork:TomOReillyCloak)
[Coiling Whisper]:99c/0,56div  (Artwork:CircleofDarkRituals)
[Cold Iron Point]:5c/0,03div  (Artwork:ColdIronPoint)
[Combat Focus]:60c/0,34div  (Artwork:ElementalHitCold)
[Combat Focus]:55c/0,31div  (Artwork:ElementalHitFire)
[Combat Focus]:40c/0,23div  (Artwork:ElementalHitLightening)
[Command of the Pit]:5c/0,03div  (Artwork:CommandofthePit)
[Cooperation]:530,61c/3div  (Artwork:TrialmasterRightFragment)
[Coralito's Signature]:1c/0,01div  (Artwork:GorgonsFlask)
[Corpsewalker]:14c/0,08div  (Artwork:DisturbTheDead)
[Cortex](T11):75c/0,42div  (Artwork:SynthesisBossGuardianMap)
[Coruscating Elixir]:7c/0,04div  (Artwork:CorusElixir)
[Cospri's Malice]:20c/0,11div  (Artwork:CosprisMalice)
[Cospri's Will][6L]:170,57c/0,96div  (Artwork:CosprisWill)
[Cospri's Will][5L]:17c/0,1div  (Artwork:CosprisWill)
[Cospri's Will]:5c/0,03div  (Artwork:CosprisWill)
[Coward's Chains]:10c/0,06div  (Artwork:Coward's Chains)
[Coward's Legacy]:99c/0,56div  (Artwork:Coward's Legacy)
[Cowl of the Ceraunophile]:884,35c/5div  (Artwork:Supporter1helmetC)
[Cowl of the Cryophile]:1383,12c/7,82div  (Artwork:Supporter1helmetA)
[Cowl of the Thermophile]:1768,7c/10div  (Artwork:Supporter1helmetB)
[Craghead]:1c/0,01div  (Artwork:QuiverUnique4)
[Craiceann's Carapace][6L]:353,74c/2div  (Artwork:CrabUnique)
[Craiceann's Carapace][5L]:74,5c/0,42div  (Artwork:CrabUnique)
[Craiceann's Carapace]:10c/0,06div  (Artwork:CrabUnique)
[Craiceann's Chitin]:5c/0,03div  (Artwork:CrabUniqueHelmet)
[Craiceann's Pincers]:9c/0,05div  (Artwork:CrabUniqueGloves)
[Craiceann's Tracks]:7,9c/0,04div  (Artwork:CrabUniqueBoots)
[Crest of Desire]:80c/0,45div  (Artwork:Magnification)
[Crest of Perandus]:1c/0,01div  (Artwork:ShieldDexUnique5)
[Crown of Eyes]:10c/0,06div  (Artwork:CrownofEyes)
[Crown of the Inward Eye]:40c/0,23div  (Artwork:CrownOfTheInwardEye)
[Crown of the Pale King]:1c/0,01div  (Artwork:CrownofthePaleKing)
[Crown of the Tyrant]:3714,27c/21div  (Artwork:TheImposing Crown)
[Crown of Thorns]:1c/0,01div  (Artwork:CrownofThorns)
[Crystallised Omniscience]:20c/0,11div  (Artwork:AscendanceAmulet)
[Curio of Absorption]:83c/0,47div  (Artwork:PinnacleFragmentExarch)
[Curio of Consumption]:619,04c/3,5div  (Artwork:PinnacleFragmentEater)
[Curio of Decay]:55c/0,31div  (Artwork:PinnacleFragmentElder)
[Curio of Potential]:70c/0,4div  (Artwork:PinnacleFragmentMaven)
[Curiosity]:50c/0,28div  (Artwork:TrialmasterBottomFragment)
[Curtain Call]:1c/0,01div  (Artwork:CurtainCall)
[Cybil's Paw]:1c/0,01div  (Artwork:CybilsClaw)
[Cyclopean Coil]:10c/0,06div  (Artwork:ElderBelt)
[Dance of the Offered]:20c/0,11div  (Artwork:DanceOfTheOffered)
[Daresso's Courage]:5c/0,03div  (Artwork:ShieldStrDexUnique1)
[Daresso's Defiance][6L]:293,6c/1,66div  (Artwork:DaressosDefiance)
[Daresso's Defiance][5L]:60c/0,34div  (Artwork:DaressosDefiance)
[Daresso's Defiance]:5c/0,03div  (Artwork:DaressosDefiance)
[Daresso's Passion]:1c/0,01div  (Artwork:Daressos)
[Daresso's Salute]:2c/0,01div  (Artwork:CitrineAmuletUnique)
[Darkness Enthroned]:6,4c/0,04div  (Artwork:DarknessEnthroned)
[Darkray Vectors]:3c/0,02div  (Artwork:DarkrayVectors)
[Darkscorn][6L]:256,46c/1,45div  (Artwork:Darkscorn)
[Darkscorn][5L]:100c/0,57div  (Artwork:Darkscorn)
[Darkscorn]:20c/0,11div  (Artwork:Darkscorn)
[Dawnbreaker]:13,4c/0,08div  (Artwork:SuperheatedShield)
[Dawnstrider]:10c/0,06div  (Artwork:InfectiousConstruct)
[Dead Reckoning]:10c/0,06div  (Artwork:AdditionalSkeletonMagesModifier)
[Death and Taxes](T12):7c/0,04div  (Artwork:DeathandTaxes)
[Death and Taxes](T15):6c/0,03div  (Artwork:DeathandTaxes)
[Death and Taxes](T16):5c/0,03div  (Artwork:DeathandTaxes)
[Death Rush]:20c/0,11div  (Artwork:AmethystRingUnique)
[Death's Door]:442,18c/2,5div  (Artwork:Deathsdoor)
[Death's Hand]:2c/0,01div  (Artwork:EndOfEra)
[Death's Harp][6L]:163,37c/0,92div  (Artwork:Deathsharp)
[Death's Harp][5L]:43c/0,24div  (Artwork:Deathsharp)
[Death's Harp]:8c/0,05div  (Artwork:Deathsharp)
[Death's Oath][6L]:176,87c/1div  (Artwork:Deathsoath)
[Death's Oath][5L]:50c/0,28div  (Artwork:Deathsoath)
[Death's Oath]:8c/0,05div  (Artwork:Deathsoath)
[Debeon's Dirge][5L]:31c/0,18div  (Artwork:StringAxe)
[Debeon's Dirge][6L]:22,8c/0,13div  (Artwork:StringAxe)
[Debeon's Dirge]:1c/0,01div  (Artwork:StringAxe)
[Deerstalker]:1c/0,01div  (Artwork:BootsDexUnique1)
[Defiance of Destiny]:884,35c/5div  (Artwork:HinekoraAmulet)
[Deidbell]:3c/0,02div  (Artwork:Deidbell)
[Demon Stitcher]:1c/0,01div  (Artwork:DemonSticher)
[Dendrobate][6L]:176,87c/1div  (Artwork:Dendrobatis)
[Dendrobate][5L]:20,3c/0,11div  (Artwork:Dendrobatis)
[Dendrobate]:3c/0,02div  (Artwork:Dendrobatis)
[Devoto's Devotion]:3c/0,02div  (Artwork:HelmetStrDex2unique)
[Dialla's Malefaction][6L]:353,74c/2div  (Artwork:DiallasMalefaction)
[Dialla's Malefaction][5L]:176,87c/1div  (Artwork:DiallasMalefaction)
[Dialla's Malefaction]:80c/0,45div  (Artwork:DiallasMalefaction)
[Disintegrator][6L]:530,61c/3div  (Artwork:ElderStaff)
[Disintegrator][5L]:265,3c/1,5div  (Artwork:ElderStaff)
[Disintegrator]:176,87c/1div  (Artwork:ElderStaff)
[Dissolution of the Flesh]:20c/0,11div  (Artwork:ReservedBloodJewel)
[Divinarius]:689,79c/3,9div  (Artwork:Dagger7unique)
[Divination Distillate]:4c/0,02div  (Artwork:yFlasks17)
[Doedre's Damning]:4c/0,02div  (Artwork:Ring3Unique)
[Doedre's Elixir]:1c/0,01div  (Artwork:yFlask4)
[Doedre's Scorn]:1c/0,01div  (Artwork:DoedresScorn)
[Doedre's Skin][6L]:80c/0,45div  (Artwork:DoedresSkin)
[Doedre's Skin][5L]:50c/0,28div  (Artwork:DoedresSkin)
[Doedre's Skin]:19c/0,11div  (Artwork:DoedresSkin)
[Doedre's Tenure]:2c/0,01div  (Artwork:DoedresTenure)
[Doedre's Tongue]:4c/0,02div  (Artwork:DoedresTongue)
[Doomfletch][6L]:353,74c/2div  (Artwork:DoomFletch)
[Doomfletch][5L]:153c/0,87div  (Artwork:DoomFletch)
[Doomfletch]:10c/0,06div  (Artwork:DoomFletch)
[Doomsower][5L]:176,87c/1div  (Artwork:DoomSower)
[Doomsower][6L]:50c/0,28div  (Artwork:DoomSower)
[Doomsower]:3c/0,02div  (Artwork:DoomSower)
[Doon Cuebiyari]:5c/0,03div  (Artwork:DoonCuebiyari)
[Doppelgänger Guise][6L]:353,74c/2div  (Artwork:CollectorsGarbDiff)
[Doppelgänger Guise][5L]:98c/0,55div  (Artwork:CollectorsGarbDiff)
[Doppelgänger Guise]:50c/0,28div  (Artwork:CollectorsGarbDiff)
[Doryani's Catalyst]:12c/0,07div  (Artwork:DoryanisCatalyst)
[Doryani's Delusion]:67,6c/0,38div  (Artwork:DoriyanisBlue)
[Doryani's Delusion]:20c/0,11div  (Artwork:DoriyanisGreen)
[Doryani's Delusion]:20c/0,11div  (Artwork:DoriyanisRed)
[Doryani's Fist]:20c/0,11div  (Artwork:DoryanisFist)
[Doryani's Invitation]:8,6c/0,05div  (Artwork:DoryanisInvitation)
[Doryani's Invitation]:8,1c/0,05div  (Artwork:DoryanisInvitation)
[Doryani's Invitation]:6,1c/0,03div  (Artwork:DoryanisInvitation)
[Doryani's Invitation]:5c/0,03div  (Artwork:DoryanisInvitation)
[Doryani's Machinarium](T14):16,8c/0,09div  (Artwork:Doryanis)
[Doryani's Machinarium](T16):14c/0,08div  (Artwork:Doryanis)
[Doryani's Prototype][6L]:353,74c/2div  (Artwork:ShockCloak)
[Doryani's Prototype][5L]:150c/0,85div  (Artwork:ShockCloak)
[Doryani's Prototype]:96c/0,54div  (Artwork:ShockCloak)
[Dreadarc]:1c/0,01div  (Artwork:Dreadarc)
[Dream Fragments]:3c/0,02div  (Artwork:Ring6Unique)
[Dreamfeather]:5c/0,03div  (Artwork:Dreamfeather)
[Drillneck]:1c/0,01div  (Artwork:Drillneck)
[Duskdawn][6L]:282,99c/1,6div  (Artwork:SolarisLunarisStaff)
[Duskdawn][5L]:200c/1,13div  (Artwork:SolarisLunarisStaff)
[Duskdawn]:176,87c/1div  (Artwork:SolarisLunarisStaff)
[Dusktoe]:1c/0,01div  (Artwork:BootsStrDexUnique3)
[Dyadian Dawn]:5c/0,03div  (Artwork:MotherDyadus)
[Dyadus]:2c/0,01div  (Artwork:Dyadus)
[Dying Breath][6L]:40c/0,23div  (Artwork:DyingBreath)
[Dying Breath][5L]:10c/0,06div  (Artwork:DyingBreath)
[Dying Breath]:5c/0,03div  (Artwork:DyingBreath)
[Dying Sun]:2829,92c/16div  (Artwork:ShapersFlask)
[Earendel's Embrace]:1c/0,01div  (Artwork:EarendelsEmbrace)
[Eber's Unification]:3c/0,02div  (Artwork:PaleCouncilHelmet)
[Echoes of Creation]:20c/0,11div  (Artwork:TheTwistingScream)
[Echoforge][5L]:990,47c/5,6div  (Artwork:CosmicForge)
[Echoforge][6L]:884,35c/5div  (Artwork:CosmicForge)
